so,req,database,type,total_time,server_response,db_response,cpu_usage
linux,250,mysql,read,0.103857994,0.102411032,0.001951933,0
linux,250,mysql,read,0.103336096,0.101892948,0.001480818,0
linux,250,mysql,read,0.103347063,0.101898193,0.001484871,0
linux,250,mysql,read,0.103404045,0.101954937,0.001538038,0
linux,250,mysql,read,0.103794098,0.10234499,0.001908064,0
linux,250,mysql,read,0.104116917,0.102541924,0.002071857,0
linux,250,mysql,read,0.103391886,0.10194397,0.001521111,0
linux,250,mysql,read,0.103312969,0.101858139,0.001446009,1.2
linux,250,mysql,read,0.104136229,0.102545023,0.002076864,0
linux,250,mysql,read,0.10332489,0.101856947,0.001435995,1.2
linux,250,mysql,read,0.103315115,0.101847887,0.001432896,0
linux,250,mysql,read,0.103900909,0.10217309,0.001712084,0
linux,250,mysql,read,0.103293896,0.101859093,0.001450062,1.2
linux,250,mysql,read,0.103409052,0.101975918,0.001535892,0
linux,250,mysql,read,0.103304863,0.101860046,0.001445055,1.2
linux,250,mysql,read,0.103330851,0.101881981,0.001466036,1.3
linux,250,mysql,read,0.103410006,0.101966143,0.001533985,1.2
linux,250,mysql,read,0.10341692,0.101973057,0.001547098,0
linux,250,mysql,read,0.103649139,0.102206945,0.001796961,0
linux,250,mysql,read,0.103466988,0.101963997,0.001543045,0
linux,250,mysql,read,0.103435993,0.101975203,0.001554966,0
linux,250,mysql,read,0.103483915,0.102007151,0.001593113,0
linux,250,mysql,read,0.103399038,0.101945877,0.001528025,0
linux,250,mysql,read,0.103399038,0.101948023,0.001527071,1.2
linux,250,mysql,read,0.103348017,0.101903915,0.001471043,1.3
linux,250,mysql,read,0.103780031,0.102340937,0.001909971,1.2
linux,250,mysql,read,0.103381157,0.101931095,0.001520157,0
linux,250,mysql,read,0.103399992,0.101953983,0.001529932,0
linux,250,mysql,read,0.103290081,0.101835966,0.001422882,0
linux,250,mysql,read,0.106358051,0.10402894,0.003377914,2.5
linux,250,mysql,read,0.104155064,0.102574825,0.002107859,1.2
linux,250,mysql,read,0.103350163,0.101900816,0.001492023,0
linux,250,mysql,read,0.103707075,0.102257967,0.001841068,0
linux,250,mysql,read,0.103403091,0.101951838,0.001526833,1.2
linux,250,mysql,read,0.103317976,0.101866007,0.001453876,1.3
linux,250,mysql,read,0.103013992,0.101807117,0.00149703,6.2
linux,250,mysql,read,0.103291035,0.101862192,0.001449108,1.3
linux,250,mysql,read,0.103297949,0.10184598,0.001437902,0
linux,250,mysql,read,0.103368044,0.101926088,0.001507998,1.2
linux,250,mysql,read,0.103660107,0.102212906,0.001801014,0
linux,250,mysql,read,0.10334301,0.101899147,0.001486063,0
linux,250,mysql,read,0.103313208,0.101881027,0.001464128,1.2
linux,250,mysql,read,0.103365183,0.101922989,0.001507998,0
linux,250,mysql,read,0.10333395,0.101895094,0.001477003,0
linux,250,mysql,read,0.104293108,0.101814985,0.00145793,0
linux,250,mysql,read,0.103384972,0.101912975,0.001507044,0
linux,250,mysql,read,0.104372025,0.102187872,0.001765966,0
linux,250,mysql,read,0.103249788,0.101792812,0.001385927,0
linux,250,mysql,read,0.103296995,0.101852179,0.001448154,0
linux,250,mysql,read,0.103359938,0.101903915,0.001479864,1.2
linux,250,mysql,read,0.103425026,0.101978064,0.001546144,1.3
linux,250,mysql,read,0.10373497,0.101908922,0.001441002,0
linux,250,mysql,read,0.103361845,0.101944923,0.001525879,0
linux,250,mysql,read,0.103757143,0.102291107,0.001877069,0
linux,250,mysql,read,0.10335803,0.101884127,0.001471043,1.3
linux,250,mysql,read,0.103440046,0.101972103,0.001538992,1.3
linux,250,mysql,read,0.103373051,0.101911068,0.001486063,1.2
linux,250,mysql,read,0.10343194,0.101994038,0.001538992,2.4
linux,250,mysql,read,0.103394032,0.101950884,0.001499891,1.2
linux,250,mysql,read,0.103350878,0.101906061,0.001461029,1.2
linux,250,mysql,read,0.103722811,0.10227108,0.00180316,1.2
linux,250,mysql,read,0.103288889,0.101841927,0.001435041,1.2
linux,250,mysql,read,0.103379011,0.101937056,0.001508951,0
linux,250,mysql,read,0.103441,0.101998091,0.001525164,1.2
linux,250,mysql,read,0.103401184,0.101936817,0.001496077,0
linux,250,mysql,read,0.103429079,0.101979971,0.001549959,1.2
